2026-06-24 13:07:09.469 | INFO     | agents.orchestrator.campaign_orchestrator:__init__:44 - Initializing Campaign Orchestrator...
2026-06-24 13:07:09.716 | INFO     | core.llm_client:__init__:31 - LLM client initialized | heavy=llama-3.3-70b-versatile fast=qwen-qwq-32b
2026-06-24 13:07:09.716 | INFO     | knowledge.qdrant.rag_retriever:__init__:59 - Loading embedding model: BAAI/bge-small-en-v1.5
2026-06-24 13:07:45.597 | INFO     | knowledge.qdrant.rag_retriever:__init__:61 - Connecting to Qdrant at: C:\Users\rihem\Desktop\datasetAGENT\qdrant
2026-06-24 13:07:45.623 | WARNING  | knowledge.qdrant.rag_retriever:_verify_collections:72 - Missing collections: ['mitre_attack → qdrant_attack_enterprise', 'exploitdb → exploitdb', 'metasploit → metasploit', 'atomic_red_team → atomic_red_team', 'sigma_rules → sigma_rules', 'kali_tools → kali_tools', 'cisa_advisories → qdrant_cisa_advisories', 'reverse_shells → reverse_shells', 'mitre_ics → mitre_ics', 'payloads → payloads_all_things']
2026-06-24 13:07:45.624 | SUCCESS  | agents.orchestrator.campaign_orchestrator:__init__:52 - Orchestrator ready.
2026-06-24 13:07:45.725 | WARNING  | knowledge.qdrant.rag_retriever:query:135 - Query failed on mitre_ics: 'QdrantClient' object has no attribute 'search'
2026-06-24 13:07:45.725 | WARNING  | knowledge.qdrant.rag_retriever:query:135 - Query failed on qdrant_attack_enterprise: 'QdrantClient' object has no attribute 'search'
2026-06-24 13:07:46.079 | WARNING  | core.llm_client:complete:74 - LLM error (fast/qwen-qwq-32b): Error code: 400 - {'error': {'message': 'The model `qwen-qwq-32b` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}} — retrying...
2026-06-24 13:07:48.228 | WARNING  | core.llm_client:complete:74 - LLM error (fast/qwen-qwq-32b): Error code: 400 - {'error': {'message': 'The model `qwen-qwq-32b` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}} — retrying...
2026-06-24 13:07:50.382 | WARNING  | core.llm_client:complete:74 - LLM error (fast/qwen-qwq-32b): Error code: 400 - {'error': {'message': 'The model `qwen-qwq-32b` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}} — retrying...
2026-06-24 13:09:41.720 | INFO     | agents.orchestrator.campaign_orchestrator:__init__:44 - Initializing Campaign Orchestrator...
2026-06-24 13:09:41.937 | INFO     | core.llm_client:__init__:31 - LLM client initialized | heavy=llama-3.3-70b-versatile fast=qwen/qwen3-32b
2026-06-24 13:09:41.938 | INFO     | knowledge.qdrant.rag_retriever:__init__:58 - Loading embedding model: BAAI/bge-small-en-v1.5
2026-06-24 13:09:47.027 | INFO     | knowledge.qdrant.rag_retriever:__init__:60 - Connecting to Qdrant at: C:\Users\rihem\Desktop\datasetAGENT\qdrant
